Abbrev;Name;Y;X;Z
A;Albis;681201;237604;938
D;La Dôle;497057;142408;1682
L;Monte Lema;707957;99762;1626
P;Plaine Morte;603687;135476;2937
W;Weissfluhgipfel;779700;189790;2850
