ID;Abbrev;Name;Y;X;Z;Type
91;GRH;Grimsel Hospiz;668583;158215;1980;SwissMetNet
22;GRO;Grono;733017;124090;324;SwissMetNet
743;GSG;Gsteig, Gstaad;587680;136130;1196;PrecipStation
60;GUE;Gütsch, Andermatt;690050;167475;2283;SwissMetNet
165;GTT;Guttannen;665296;167601;1055;PrecipStation
79;GUT;Güttingen;738422;273963;440;SwissMetNet
4;HLL;Hallau;677456;283472;419;SwissMetNet
94;HOE;Hörnli;713517;247757;1144;SwissMetNet
311;HUT;Huttwil;630261;218189;633;PrecipStation
630;ILZ;Ilanz;735685;181966;698;SwissMetNet
687;INN;Innerthal;712019;218326;903;PrecipStation
53;INT;Interlaken;633023;169092;577;SwissMetNet
4500;VSISE;Isérables;585332;112179;1237;PrecipStation
10103;VSJEI;Jeizinen;621858;130817;1556;PrecipStation
146;JON;Jona;706760;231290;410;PrecipStation
33;JUN;Jungfraujoch;641930;155275;3580;SwissMetNet
723;KAS;Kandersteg;618313;149198;1178;PrecipStation
358;KIE;Kiental;622110;159075;930;PrecipStation
429;KIS;Kiesen;610256;185527;535;PrecipStation
641;KLA;Klosters;786857;193366;1186;PrecipStation
18;KOP;Koppigen;612663;218664;485;SwissMetNet
765;AUB;L' Auberson;523852;186295;1096;PrecipStation
852;BRL;La Brévine;536982;203974;1050;SwissMetNet
65;CDF;La Chaux-de-Fonds;550919;214861;1017;SwissMetNet
31;DOL;La Dôle;497060;142372;1670;SwissMetNet
4314;VSFLY;La Fouly;573453;87284;1564;PrecipStation
746;VST;La Valsainte;580090;166314;1044;PrecipStation
695;LAC;Lachen / Galgenen;707637;226334;468;SwissMetNet
93;LAE;Lägern;672250;259460;845;SwissMetNet
379;LAB;Langenbruck;624250;244720;731;PrecipStation
17;LAG;Langnau i.E.;628004;198793;744;SwissMetNet
270;LSN;Lausanne;538976;153256;601;PrecipStation
233;LTB;Lauterbrunnen;635851;160291;815;PrecipStation
38;MLS;Le Moléson;567719;155077;1974;SwissMetNet
89;LEI;Leibstadt;656373;272122;341;SwissMetNet
864;ATT;Les Attelas;586855;105302;2735;SwissMetNet
204;AVA;Les Avants;561880;145178;1036;PrecipStation
309;CHB;Les Charbonnières;513821;169387;1045;SwissMetNet
4643;VSCOL;Les Collons;596041;114169;1770;PrecipStation
856;DIA;Les Diablerets;581914;130622;2964;SwissMetNet
143;MAR;Les Marécottes;567375;107577;990;SwissMetNet
257;LEU;Leukerbad;614083;135090;1286;PrecipStation
84;OTL;Locarno / Monti;704172;114342;367;SwissMetNet
106;LOH;Lohn, SH;692910;289775;585;PrecipStation
332;LON;Longirod;509387;150106;900;PrecipStation
47;LUG;Lugano;717874;95884;273;SwissMetNet
68;LUZ;Luzern;665544;209850;454;SwissMetNet
50;MAG;Magadino / Cadenazzo;715480;113162;203;SwissMetNet
771;MGL;Magglingen;583037;221115;883;PrecipStation
417;MAL;Malbun;764704;219182;1610;PrecipStation
748;MAS;Marsens;571758;167317;714;SwissMetNet
140;MAB;Martigny;570920;106546;461;PrecipStation
612;MAT;Martina;830464;196986;1041;PrecipStation
308;MAH;Mathod;533458;176567;437;SwissMetNet
414;MTR;Matro;714263;140944;2171;SwissMetNet
10105;VSMAT;Mattsand;627250;110279;1230;PrecipStation
11;MER;Meiringen;655844;175930;589;SwissMetNet
432;MEV;Mervelier;603884;243975;540;PrecipStation
301;MOE;Möhlin;633053;269147;343;SwissMetNet
4317;VSMOI;Moiry;610169;109590;2127;PrecipStation
506;MOB;Montagnier, Bagnes;583492;102189;839;SwissMetNet
40;MVE;Montana;601709;127489;1427;SwissMetNet
848;GEN;Monte Generoso;722503;87456;1600;SwissMetNet
139;MRP;Monte Rosa-Plattje;629149;89520;2885;SwissMetNet
534;MMO;Mormont;569727;254223;535;PrecipStation
842;MOA;Mosen;660128;232851;453;SwissMetNet
560;MSG;Mosogno;692803;117050;771;PrecipStation
317;MTE;Mottec;614325;110730;1580;SwissMetNet
86;MUB;Mühleberg;587793;202480;480;SwissMetNet
145;MSK;Mühleberg / Stockeren;588150;200125;775;SwissMetNet
799;MUR;Muri, AG;667276;235323;577;PrecipStation
863;NAS;Naluns / Schlivera;815374;188987;2380;SwissMetNet
48;NAP;Napf;638137;206079;1404;SwissMetNet
4499;VSNEN;Nendaz;590166;107852;1938;PrecipStation
186;NEB;Nesselboden;605295;232697;1055;PrecipStation
51;NEU;Neuchâtel;563087;205560;485;SwissMetNet
76;CGI;Nyon / Changins;506878;139573;455;SwissMetNet
464;AEG;Oberägeri;688728;220956;724;SwissMetNet
326;OBI;Oberiberg;701841;210464;1075;PrecipStation
1435;OBR;Oberriet / Kriessern;764171;249582;409;SwissMetNet
669;OPF;Opfikon;684614;254698;424;PrecipStation
850;ORO;Oron;555506;158053;828;SwissMetNet
510;ORS;Orsières;577022;96695;929;PrecipStation
4318;VSOTE;Otemma;596477;85864;2357;PrecipStation
23;BEH;Passo del Bernina;798422;143020;2260;SwissMetNet
32;PAY;Payerne;562131;184611;490;SwissMetNet
43;PIL;Pilatus;661905;203410;2106;SwissMetNet
46;PIO;Piotta;695880;152265;990;SwissMetNet
74;COV;Piz Corvatsch;783151;143522;3302;SwissMetNet
862;PMA;Piz Martegnas;760261;160570;2670;SwissMetNet
95;PLF;Plaffeien;586828;177407;1042;SwissMetNet
28;ROB;Poschiavo / Robbia;801993;136249;1078;SwissMetNet
61;PUY;Pully;540819;151510;456;SwissMetNet
860;QUI;Quinten;734848;221278;419;SwissMetNet
694;REM;Rempen;710610;221850;650;PrecipStation
782;WHF;Riedholz / Wallierhof;609394;231491;518;PrecipStation
96;ROE;Robièi;682588;144091;1896;SwissMetNet
749;ROM;Romont;561476;172622;692;PrecipStation
4431;ROG;Rossberg;684227;214211;1119;PrecipStation
636;ROT;Rothenbrunnen;751220;181300;622;PrecipStation
66;RUE;Rünenberg;633252;253846;611;SwissMetNet
72;SBE;S. Bernardino;734116;147294;1639;SwissMetNet
